student_id,name,roll_number,semester
1,Student_3269,RN21430,8
2,Student_6838,RN70628,5
3,Student_3834,RN62458,4
4,Student_6818,RN67448,4
5,Student_8036,RN73040,8
6,Student_6817,RN45368,8
7,Student_7797,RN95883,3
8,Student_5199,RN63364,4
9,Student_2943,RN89086,2
10,Student_4746,RN45870,6
11,Student_1685,RN59327,8
12,Student_7320,RN38950,3
13,Student_8412,RN35061,1
14,Student_6252,RN64575,3
15,Student_8072,RN51389,3
16,Student_8668,RN72032,5
17,Student_1126,RN53067,5
18,Student_6480,RN35893,5
19,Student_6658,RN76769,2
20,Student_9126,RN17970,4
21,Student_6549,RN45663,7
22,Student_5316,RN95162,2
23,Student_3559,RN70131,2
24,Student_6837,RN61264,8
25,Student_8917,RN40097,1
26,Student_4819,RN60376,2
27,Student_1567,RN86476,4
28,Student_3679,RN88887,5
29,Student_7199,RN28498,4
30,Student_4777,RN93843,5
31,Student_5669,RN28059,7
32,Student_6418,RN54349,3
33,Student_6090,RN93677,3
34,Student_9069,RN21946,5
35,Student_4872,RN24683,7
36,Student_2979,RN66860,5
37,Student_3119,RN99245,7
38,Student_7460,RN32113,8
39,Student_9599,RN70029,1
40,Student_2342,RN15661,3
41,Student_9061,RN71426,4
42,Student_7238,RN75649,8
43,Student_8238,RN75845,6
44,Student_6353,RN19403,5
45,Student_7530,RN86188,8
46,Student_7467,RN28156,5
47,Student_9541,RN11625,2
48,Student_8059,RN24913,6
49,Student_6647,RN49226,6
50,Student_2194,RN72020,2
51,Student_9168,RN46891,6
52,Student_6055,RN88639,1
53,Student_8490,RN85590,3
54,Student_3504,RN73983,6
55,Student_9400,RN91980,7
56,Student_5299,RN64888,4
57,Student_4194,RN10489,6
58,Student_7888,RN69017,3
59,Student_4721,RN92683,7
60,Student_5706,RN14228,6
61,Student_9646,RN12289,3
62,Student_9446,RN51370,4
63,Student_8295,RN69334,6
64,Student_1009,RN70102,7
65,Student_8589,RN35089,5
66,Student_4489,RN55496,8
67,Student_1294,RN65774,7
68,Student_9005,RN59301,6
69,Student_5842,RN27012,3
70,Student_7838,RN73628,3
71,Student_3055,RN36423,5
72,Student_3969,RN52329,5
73,Student_8368,RN73526,3
74,Student_7194,RN96163,5
75,Student_5576,RN54386,4
76,Student_5930,RN80373,4
77,Student_3140,RN43461,8
78,Student_4026,RN71170,8
79,Student_1624,RN31394,8
80,Student_1086,RN70913,6
81,Student_2777,RN50765,2
82,Student_3732,RN15385,4
83,Student_1687,RN14854,3
84,Student_9536,RN90286,3
85,Student_9219,RN45367,1
86,Student_8066,RN45829,3
87,Student_4883,RN20546,1
88,Student_2415,RN11165,4
89,Student_6747,RN97107,6
90,Student_9198,RN97041,6
91,Student_8844,RN68568,6
92,Student_4083,RN59930,1
93,Student_6203,RN36932,1
94,Student_7063,RN82759,2
95,Student_3893,RN20898,1
96,Student_9163,RN73163,7
97,Student_8353,RN25834,1
98,Student_5830,RN36846,3
99,Student_9498,RN36042,3
100,Student_4184,RN53285,6
